traceID,callerServiceName,callerSpanID,calledServiceName,calledSpanID,duration,TOF
c786182d2b1daf39f2d53564771d2a5e,ts-ui-dashboard.default,f2d53564771d2a5e,ts-ui-dashboard.default,8f199fccdf82d2e7,6785,false,
c786182d2b1daf39f2d53564771d2a5e,ts-ui-dashboard.default,8f199fccdf82d2e7,ts-order-other-service.default,188008d4144f5432,6255,false,
c786182d2b1daf39f2d53564771d2a5e,ts-order-other-service.default,188008d4144f5432,ts-order-other-service.default,b57ac91ef31d16d0,2139,false,
c786182d2b1daf39f2d53564771d2a5e,ts-order-other-service.default,b57ac91ef31d16d0,ts-station-service.default,6a9307e0c9e5456d,1602,false,
a2900e1e86686a95537fa6fda057937f,ts-ui-dashboard.default,537fa6fda057937f,ts-ui-dashboard.default,47944248e4150cec,6715,false,
a2900e1e86686a95537fa6fda057937f,ts-ui-dashboard.default,47944248e4150cec,ts-order-other-service.default,8d0b8cc8a9133a80,6133,false,
a2900e1e86686a95537fa6fda057937f,ts-order-other-service.default,8d0b8cc8a9133a80,ts-order-other-service.default,3cdda0e53680e312,2302,false,
a2900e1e86686a95537fa6fda057937f,ts-order-other-service.default,3cdda0e53680e312,ts-station-service.default,7c36d443d3c1052e,1665,false,
f038e6835a328b9e881daf16474581fc,ts-ui-dashboard.default,881daf16474581fc,ts-ui-dashboard.default,ff13df1c85b6ddd4,16885,false,
f038e6835a328b9e881daf16474581fc,ts-ui-dashboard.default,ff13df1c85b6ddd4,ts-execute-service.default,47d54b307329964b,15932,false,
f038e6835a328b9e881daf16474581fc,ts-execute-service.default,47d54b307329964b,ts-execute-service.default,d01c51fc4ff5242b,4125,false,
f038e6835a328b9e881daf16474581fc,ts-execute-service.default,d01c51fc4ff5242b,ts-order-service.default,7bf3e1ba5723b43f,3444,false,
f038e6835a328b9e881daf16474581fc,ts-execute-service.default,47d54b307329964b,ts-execute-service.default,48f4324fa6329799,8083,false,
f038e6835a328b9e881daf16474581fc,ts-execute-service.default,48f4324fa6329799,ts-order-service.default,94bc370c9f625e4f,7683,false,
4728ed3b4a71810a3ead6e0d88926402,ts-ui-dashboard.default,3ead6e0d88926402,ts-ui-dashboard.default,bfd222132a0d6765,12320,false,
4728ed3b4a71810a3ead6e0d88926402,ts-ui-dashboard.default,bfd222132a0d6765,ts-order-service.default,7cdf7e29674b42ee,11633,false,
4728ed3b4a71810a3ead6e0d88926402,ts-order-service.default,7cdf7e29674b42ee,ts-order-service.default,88f8fbddebd00435,5883,false,
4728ed3b4a71810a3ead6e0d88926402,ts-order-service.default,88f8fbddebd00435,ts-station-service.default,ba719b407179390f,5386,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ui-dashboard.default,d00ad22c4bc24e6a,ts-ui-dashboard.default,b39cd082eebece1c,985655,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ui-dashboard.default,b39cd082eebece1c,ts-travel-plan-service.default,90ebfb8e4f552154,985112,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-plan-service.default,90ebfb8e4f552154,ts-travel-plan-service.default,871a502a5f784980,653485,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-plan-service.default,871a502a5f784980,ts-route-plan-service.default,42b9d4827272998a,653027,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-route-plan-service.default,42b9d4827272998a,ts-route-plan-service.default,3dd57d5c032e8f37,472520,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-route-plan-service.default,3dd57d5c032e8f37,ts-travel-service.default,f7e819c9c4e48b91,471944,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,f7e819c9c4e48b91,ts-travel-service.default,34febd7219cd3ce,8841,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,34febd7219cd3ce,ts-ticketinfo-service.default,8680d0704131c6ab,8226,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ticketinfo-service.default,8680d0704131c6ab,ts-ticketinfo-service.default,a541b8233d730c6c,5812,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ticketinfo-service.default,a541b8233d730c6c,ts-basic-service.default,e9046fd61524edb1,5357,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,e9046fd61524edb1,ts-basic-service.default,9d11a1ce07f87a1d,2848,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,9d11a1ce07f87a1d,ts-station-service.default,50f1da24a97f2887,2234,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,f7e819c9c4e48b91,ts-travel-service.default,cb724ea3258aeb6a,5702,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,cb724ea3258aeb6a,ts-ticketinfo-service.default,d13bb9d1d2f1989f,5380,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ticketinfo-service.default,d13bb9d1d2f1989f,ts-ticketinfo-service.default,a54527b80b910148,4326,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ticketinfo-service.default,a54527b80b910148,ts-basic-service.default,16653b5d36b4b6c2,3810,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,16653b5d36b4b6c2,ts-basic-service.default,c4ac5eba0d910352,2355,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,c4ac5eba0d910352,ts-station-service.default,52c04ef034180309,2026,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,f7e819c9c4e48b91,ts-travel-service.default,46dc1fe495ed0b26,2716,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,46dc1fe495ed0b26,ts-route-service.default,403076783ad0a76,1749,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,f7e819c9c4e48b91,ts-travel-service.default,8ab7af8850736eb5,27256,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,8ab7af8850736eb5,ts-ticketinfo-service.default,9fb00636f6e52fee,26352,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ticketinfo-service.default,9fb00636f6e52fee,ts-ticketinfo-service.default,f5e8c9b8ac564f92,24747,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ticketinfo-service.default,f5e8c9b8ac564f92,ts-basic-service.default,1db7a584f5cf34af,23796,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,1db7a584f5cf34af,ts-basic-service.default,3ff08f0e47471dc5,2926,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,3ff08f0e47471dc5,ts-station-service.default,2a86cf5951a64184,1901,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,1db7a584f5cf34af,ts-basic-service.default,189d8d2dc4fbc5e1,1671,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,189d8d2dc4fbc5e1,ts-station-service.default,52e21b0fc72aa5c7,1372,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,1db7a584f5cf34af,ts-basic-service.default,3c2ea7ebd711f7f8,3526,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,3c2ea7ebd711f7f8,ts-train-service.default,7d6ce109be553b7,2594,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,1db7a584f5cf34af,ts-basic-service.default,736c8a0b66cf9798,2207,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,736c8a0b66cf9798,ts-route-service.default,431e014682cd944f,1746,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,1db7a584f5cf34af,ts-basic-service.default,a3fd81d454e0db96,3201,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,a3fd81d454e0db96,ts-price-service.default,4d3f643ad060872d,2286,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,1db7a584f5cf34af,ts-basic-service.default,ad2bd159a796ab7a,2313,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,ad2bd159a796ab7a,ts-station-service.default,5ea0274ee07277a1,1808,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,1db7a584f5cf34af,ts-basic-service.default,50eecbf80a66ebd9,1375,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,50eecbf80a66ebd9,ts-station-service.default,c9e360dcfdf33b01,1085,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,f7e819c9c4e48b91,ts-travel-service.default,a57d0459a234990c,3380,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,a57d0459a234990c,ts-order-service.default,3ee86614df085db1,2725,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,f7e819c9c4e48b91,ts-travel-service.default,9e8a93ab339dbd60,5454,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,9e8a93ab339dbd60,ts-ticketinfo-service.default,3f55a2c390241671,5082,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ticketinfo-service.default,3f55a2c390241671,ts-ticketinfo-service.default,4173b59d3c1c9c0,4018,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ticketinfo-service.default,4173b59d3c1c9c0,ts-basic-service.default,b83a9f705aebc959,3512,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,b83a9f705aebc959,ts-basic-service.default,2c469a0c337498b1,2046,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,2c469a0c337498b1,ts-station-service.default,94d5b5cdfbe10954,1570,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,f7e819c9c4e48b91,ts-travel-service.default,cfb4bd3052be179f,6095,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,cfb4bd3052be179f,ts-ticketinfo-service.default,2426d8be79603a7b,5780,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ticketinfo-service.default,2426d8be79603a7b,ts-ticketinfo-service.default,5b6636bc9ea9a6e7,4580,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-ticketinfo-service.default,5b6636bc9ea9a6e7,ts-basic-service.default,c5ec09d72bbde381,3740,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,c5ec09d72bbde381,ts-basic-service.default,89a14177b0bf3a26,2391,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-basic-service.default,89a14177b0bf3a26,ts-station-service.default,9777c369cd9cbdc6,1481,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,f7e819c9c4e48b91,ts-travel-service.default,f614023a026af3f4,71000,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,f614023a026af3f4,ts-seat-service.default,1d5347381bd22eeb,70450,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-seat-service.default,1d5347381bd22eeb,ts-seat-service.default,dd5404836fe46b60,51646,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-seat-service.default,dd5404836fe46b60,ts-travel-service.default,c531ae614ad05bbe,49718,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,c531ae614ad05bbe,ts-travel-service.default,7a0f26e6a2b083b3,2511,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,7a0f26e6a2b083b3,ts-route-service.default,a7c8cfebed6303c2,1862,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-seat-service.default,1d5347381bd22eeb,ts-seat-service.default,da7ed863371f911c,3474,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-seat-service.default,da7ed863371f911c,ts-order-service.default,5f69a19b879611d2,3022,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-seat-service.default,1d5347381bd22eeb,ts-seat-service.default,fd87b0c0fbbf4191,5580,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-seat-service.default,fd87b0c0fbbf4191,ts-travel-service.default,e02469120f2b8031,5192,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,e02469120f2b8031,ts-travel-service.default,db30be54fffbda27,2812,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-travel-service.default,db30be54fffbda27,ts-train-service.default,9b64eb99b8a9757e,2161,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-seat-service.default,1d5347381bd22eeb,ts-seat-service.default,9456e6c2ba69e31a,3185,false,
caa7f1310357b4d00ad22c4bc24e6a,ts-seat-service.default,9456e6c2ba69e31a,ts-config-service.default,7a6648b8f1438aa9,2266,false,
